GameName,Description,Developer,Publisher,ReleaseDate,EarlyAccessDate,Memory,Storage,Generes,Language,Tags,Category,RatingDescription
Sons Of The Forest,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.",Endnight Games Ltd,Newnight ,"Feb 23, 2023","Early Access Release Date: Feb 23, 2023",,,"Action, Adventure, Indie, Simulation, Early Access","English,French,Italian,German,Spanish - Spain,Czech,Finnish,Japanese,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Swedish,Traditional Chinese,Turkish","Survival,Open,World,Multiplayer,Survival,Horror,Co-op,Base,Building,Crafting,Horror,First-Person,Exploration,Adventure,Building,Singleplayer,Atmospheric,Action-Adventure,Sandbox,Action,Simulation,Early,Access,Immersive,Sim,+","Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Cloud",
NARAKA: BLADEPOINT,"Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!",24 Entertainment,NetEase Games Global,"Aug 11, 2021",,,,"Action, Adventure, Massively Multiplayer","English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,Spanish - Spain,Russian,Turkish,Portuguese - Portugal,Vietnamese,Thai","Battle,Royale,Multiplayer,Martial,Arts,PvP,Female,Protagonist,Action,Third,Person,Survival,Character,Customization,Hack,and,Slash,Massively,Multiplayer,Fighting,Swordplay,Parkour,Adventure,Anime,Mature,Violent,Gore,Free,to,Play,+","Online Pv,PIn-App Purchases,Partial Controller Support 

Requires agreement to a 3rd-party EULA
NARAKA: BLADEPOINT EULA",
Exoprimal,"Exoprimal is an online, team-based action game that pits humanity's cutting-edge exosuit technology against history's most ferocious beasts – dinosaurs.​​","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Jul 13, 2023",,,,Action,"English,Japanese,French,Italian,German,Spanish - Spain,Arabic,Spanish - Latin America,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese,Korean","Action,Shooter,Sci-fi,3D,Dinosaurs,FPS,Tactical,Futuristic,PvP,Destruction,Survival,PvE,Team-Based,Multiplayer,Online,Co-Op,Third-Person,Shooter,Character,Customization,Third,Person,Mechs,+","Online Pv,POnline Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud 

									Requires 3rd-Party Account: CAPCOM ID (Supports Linking to Steam Account)								

Requires agreement to a 3rd-party EULA
Exoprimal EULA","Violence,Blood,Strong Language"
Call of Duty®: Black Ops III,Call of Duty®: Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.,"Treyarch, Aspyr (Mac)",Activision,"Nov 5, 2015",, 6 GB RAM, 100 GB available space,"Action, Adventure","English,French,Italian,German,Spanish - Spain,Simplified Chinese,Traditional Chinese,Japanese,Polish,Portuguese - Brazil,Russian","Multiplayer,FPS,Zombies,Shooter,Action,First-Person,Singleplayer,Co-op,Futuristic,Illuminati,Hero,Shooter,Robots,Sci-fi,Gore,Great,Soundtrack,Story,Rich,Atmospheric,Parkour,Quick-Time,Events,Simulation,+","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TVRemote Play Together 

Requires agreement to a 3rd-party EULA
Call of Duty: Black Ops III EULA","Blood and Gore,Drug Reference,Intense Violence,Strong Language"
Six Days in Fallujah,"Six Days in Fallujah is a realistic first-person tactical shooter based on true stories of Marines, Soldiers, and Iraqi civilians during the toughest urban battle since 1968.",Highwire Games,Victura,"Jun 22, 2023","Early Access Release Date: Jun 22, 2023",,,"Action, Early Access","English,French,German,Korean,Simplified Chinese,Spanish - Latin America,Italian,Spanish - Spain","Early,Access,Military,FPS,Tactical,Shooter,First-Person,PvE,Wargame,Historical,Hero,Shooter,Realistic,Co-op,Action,Team-Based,Nonlinear,Stealth,War,Drama,Emotional,Modern,+","Single-player,Online Co-op,Steam Achievements,Full controller support 

Requires agreement to a 3rd-party EULA
Six Days in Fallujah EULA",
F1® 23,"Be the last to brake in EA SPORTS™ F1® 23, the official video game of the 2023 FIA Formula One World Championship™. A new chapter in the thrilling ""Braking Point"" story mode delivers high-speed drama and heated rivalries.",Codemasters,Electronic Arts,"Jun 15, 2023",,,,"Racing, Sports","English,French,Italian,German,Spanish - Spain,Japanese,Polish,Portuguese - Brazil,Simplified Chinese,Spanish - Latin America,Dutch,Arabic","VR,Racing,Driving,Sports,Multiplayer,Automobile,Sim,Singleplayer,Competitive,Simulation,Relaxing,eSports,Action-Adventure,3D,Immersive,Sim,3D,Platformer,Arcade,Cinematic,First-Person,PvP,PvE,+","Single-player,Online Pv,PShared/Split Screen Pv,POnline Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,VR Supported,Steam Workshop,Steam Cloud,Remote Play Together 

									Incorporates 3rd-party DRM: Denuvo Anti-Tampering								

									Requires 3rd-Party Account: EA Account 								

Requires agreement to a 3rd-party EULA
F1® 23 EULA",Mild Language
EA SPORTS™ FIFA 23,"FIFA 23 brings The World’s Game to the pitch, with HyperMotion2 Technology, men’s and women’s FIFA World Cup™, women’s club teams, cross-play features**, and more.",EA Canada & EA Romania,Electronic Arts,"Sep 29, 2022",,,,"Simulation, Sports","English,French,Italian,German,Spanish - Spain,Arabic,Czech,Danish,Dutch,Japanese,Korean,Norwegian,Polish,Portuguese - Portugal,Portuguese - Brazil,Russian,Simplified Chinese,Spanish - Latin America,Swedish,Traditional Chinese,Turkish","Football,(Soccer),Sports,Controller,eSports,PvP,Management,Simulation,Team-Based,Third,Person,Realistic,Immersive,Sim,Multiplayer,Local,Multiplayer,Local,Co-Op,Co-op,Online,Co-Op,Singleplayer,PvE,Free,to,Play,LGBTQ+,+","Single-player,Online Pv,PShared/Split Screen Pv,POnline Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases 

									Incorporates 3rd-party DRM: EA online activation and EA app software installation and background use required.								

									Requires 3rd-Party Account: EA Account (Supports Linking to Steam Account)								

Requires agreement to a 3rd-party EULA
EA SPORTS™ FIFA 23 EULA


EA Play subscription requires acceptance of
EA Play Terms","Users Interact, In-Game Purchases (Includes Random
,Items)"
Cyberpunk 2077,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",CD PROJEKT RED,CD PROJEKT RED,"Dec 9, 2020",,,,RPG,"English,French,Italian,German,Spanish - Spain,Arabic,Czech,Hungarian,Japanese,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Spanish - Latin America,Thai,Traditional Chinese,Turkish","Cyberpunk,Open,World,Nudity,RPG,Singleplayer,Sci-fi,Futuristic,FPS,Mature,Story,Rich,First-Person,Atmospheric,Exploration,Action,Violent,Great,Soundtrack,Action,RPG,Adventure,Character,Customization,Immersive,Sim,+","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud 

Requires agreement to a 3rd-party EULA
Cyberpunk 2077 EULA","Blood and Gore,Intense Violence,Nudity,Strong Language,Strong Sexual Content,Use of Drugs,Use of Alcohol"
Hogwarts Legacy,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",Avalanche Software,Warner Bros. Games,"Feb 10, 2023",,,,"Action, Adventure, RPG","English,French,Italian,German,Spanish - Spain,Arabic,Japanese,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Spanish - Latin America,Traditional Chinese","Magic,Fantasy,Open,World,Singleplayer,Adventure,RPG,Character,Customization,Exploration,Story,Rich,Third,Person,Action-Adventure,Atmospheric,Action,RPG,Action,Combat,Choices,Matter,Puzzle,Great,Soundtrack,Dark,Family,Friendly,+","Single-player,Steam Achievements,Full controller support,In-App Purchases,Steam Cloud 

									Incorporates 3rd-party DRM: Denuvo Anti-Tampering								

Requires agreement to a 3rd-party EULA
Hogwarts Legacy EULA","Fantasy Violence,Blood,Mild Language,Use of Alcohol"
Phasmophobia,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,Kinetic Games,Kinetic Games,"Sep 18, 2020","Early Access Release Date: Sep 18, 2020",,,"Action, Indie, Early Access","English,Portuguese - Portugal,Spanish - Spain,Portuguese - Brazil,German,French,Italian,Bulgarian,Czech,Danish,Dutch,Finnish,Greek,Hungarian,Japanese,Korean,Norwegian,Polish,Romanian,Russian,Simplified Chinese,Swedish,Traditional Chinese,Turkish,Ukrainian,Catalan","Horror,Online,Co-Op,Multiplayer,Psychological,Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Demons,Mystery,Detective,Early,Access,3D,Thriller,Indie,Action,Tactical,Lovecraftian,+","Single-player,Online Co-op,Full controller support,Tracked Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet",
Fallout 76,"Bethesda Game Studios welcome you to Fallout 76. Twenty-five years after the bombs fall, you and your fellow Vault Dwellers emerge into post-nuclear America. Explore a vast wasteland in this open-world multiplayer addition to the Fallout story.",Bethesda Game Studios,Bethesda Softworks,"Apr 14, 2020",,,,RPG,"English,French,Italian,German,Spanish - Spain,Japanese,Korean,Polish,Traditional Chinese,Russian,Simplified Chinese,Spanish - Latin America,Portuguese - Brazil","Dark,Comedy,Open,World,RPG,Post-apocalyptic,Multiplayer,Capitalism,Survival,Base,Building,Co-op,Shooter,Horror,MMORPG,Exploration,Gore,FPS,Violent,Atmospheric,Early,Access,Singleplayer,Great,Soundtrack,+","MMOOnline Pv,POnline Co-op,Steam Achievements,In-App Purchases,Partial Controller Support,Remote Play on Tablet 

									Requires 3rd-Party Account: Bethesda.net (Supports Linking to Steam Account)","Blood and Gore,Drug Reference,Intense Violence,Strong Language,Suggestive Themes,Use of Alcohol"
NBA 2K23,"Rise to the occasion in NBA 2K23. Showcase your talent in MyCAREER. Pair All-Stars with timeless legends in MyTEAM. Build your own dynasty in MyGM, or guide the NBA in a new direction with MyLEAGUE. Take on NBA or WNBA teams in PLAY NOW and feel true-to-life gameplay.",Visual Concepts,2K,"Sep 8, 2022",,,,"Simulation, Sports","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Simplified Chinese,Traditional Chinese","Immersive,Sim,Sports,Basketball,Simulation,Multiplayer,PvP,Co-op,Realistic,Local,Co-Op,Singleplayer,Online,Co-Op,Controller,Character,Customization,3D,Trading,4,Player,Local,Local,Multiplayer,eSports,Team-Based,Management,+","Single-player,Online Pv,PShared/Split Screen Pv,POnline Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,In-App Purchases,Steam Cloud,Remote Play Together 

									Requires 3rd-Party Account: 2K Sports Account 								

Requires agreement to a 3rd-party EULA
NBA 2K23 EULA","Users Interact,In-Game Purchases (Includes Random Items)"
Sid Meier’s Civilization® VI,"Civilization VI is the newest installment in the award winning Civilization Franchise. Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?","Firaxis Games, Aspyr (Mac), Aspyr (Linux)",2K,"Oct 20, 2016",,,,Strategy,"English,French,Italian,German,Spanish - Spain,Japanese,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese","Strategy,Turn-Based,Strategy,Multiplayer,Historical,Singleplayer,Grand,Strategy,Turn-Based,4X,War,Simulation,City,Builder,Tactical,Building,Management,Great,Soundtrack,Moddable,Online,Co-Op,Co-op,Hex,Grid,Atmospheric,+","Single-player,Online Pv,PLAN Pv,PShared/Split Screen Pv,PCross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Turn Notifications,Remote Play on Tablet,Remote Play Together 

Requires agreement to a 3rd-party EULA
Sid Meier's Civilization VI EULA","Drug Reference,Language,Mild Violence,Suggestive Themes"
Project Zomboid,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..",The Indie Stone,The Indie Stone,"Nov 8, 2013",, 8Gb Ram , 5gig 	 ,"Indie, RPG, Simulation, Early Access","English,French,Italian,German,Spanish - Spain,Danish,Dutch,Hungarian,Norwegian,Polish,Portuguese - Portugal,Russian,Turkish,Japanese,Simplified Chinese,Portuguese - Brazil,Finnish,Korean,Thai,Traditional Chinese,Ukrainian","Survival,Zombies,Open,World,Open,World,Survival,Craft,Multiplayer,Sandbox,Post-apocalyptic,Co-op,Crafting,Indie,Simulation,Building,RPG,Survival,Horror,Realistic,Isometric,Singleplayer,2D,Early,Access,Adventure,+","Single-player,Online Pv,POnline Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Trading Cards,Steam Workshop,Partial Controller Support,Remote Play Together 

Requires agreement to a 3rd-party EULA
Project Zomboid EULA",
Jagged Alliance 3,"The country of Grand Chien is thrown into chaos when the elected president goes missing and the paramilitary force known as “the Legion” seizes control. Hire mercs, meet interesting characters, and fight in tactically deep turn-based combat in this true successor to a beloved franchise.",Haemimont Games,THQ Nordic,"Jul 14, 2023",,,,"Action, Strategy","English,German,Russian,French,Spanish - Spain,Portuguese - Brazil,Traditional Chinese,Simplified Chinese,Polish,Indonesian","Strategy,Tactical,Turn-Based,Tactics,RPG,Turn-Based,Strategy,Turn-Based,Combat,Tactical,RPG,Singleplayer,Strategy,RPG,Co-op,Campaign,Action,Loot,3D,Isometric,Classic,Turn-Based,+","Single-player,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud 

Requires agreement to a 3rd-party EULA
Jagged Alliance 3 EULA",
MapleStory,"Join over 260 million players worldwide in MapleStory, the world’s biggest 2D MMORPG adventure! Play now for free.",Nexon,Nexon America Inc.,"Aug 9, 2012",,,,"Action, Adventure, Casual, Free to Play, Massively Multiplayer, RPG",English,"MMORPG,Character,Customization,Loot,2D,Platformer,Side,Scroller,PvE,Multiple,Endings,Free,to,Play,PvP,Co-op,Third,Person,Platformer,Cute,Multiplayer,Anime,Story,Rich,Massively,Multiplayer,RPG,Casual,2D,+","Single-player,MMOSteam Trading Cards 

Requires agreement to a 3rd-party EULA
Maple,Story EULA",
Borderlands 3,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four new Vault Hunters.",Gearbox Software,2K,"Mar 13, 2020",,,,"Action, RPG","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese","RPG,Action,Multiplayer,Looter,Shooter,FPS,Loot,Online,Co-Op,Open,World,Co-op,Shooter,Co-op,Campaign,Singleplayer,Gore,First-Person,Violent,Adventure,Nudity,Comedy,Great,Soundtrack,Epic,+","Single-player,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV 

Requires agreement to a 3rd-party EULA
Borderlands 3 EULA","Blood and Gore,Intense Violence,Sexual Themes,Strong Language"
RimWorld,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.",Ludeon Studios,Ludeon Studios,"Oct 17, 2018",, 4 GB RAM, 1 GB available space,"Indie, Simulation, Strategy","English,French,German,Polish,Russian,Italian,Spanish - Spain,Czech,Danish,Dutch,Hungarian,Japanese,Norwegian,Portuguese - Portugal,Portuguese - Brazil,Simplified Chinese,Swedish,Traditional Chinese,Turkish,Ukrainian,Finnish,Korean,Romanian,Spanish - Latin America","Colony,Sim,Base,Building,Survival,Strategy,Sandbox,Management,Building,Simulation,Singleplayer,City,Builder,Moddable,Open,World,Procedural,Generation,2D,Sci-fi,Indie,Space,Tactical,RPG,Western,Cartoony,+","Single-player,Steam Workshop,Steam Cloud,Remote Play on Tablet 

Requires agreement to a 3rd-party EULA
Rim,World EULA 1",
Yu-Gi-Oh! Master Duel,"Yu-Gi-Oh! MASTER DUEL is the ultimate free-to-play cross-platform strategy card game with fast-paced Duels, stunning HD graphics and a new, dynamic soundtrack! Get ready to challenge Duelists around the world!",Konami Digital Entertainment,Konami Digital Entertainment,"Jan 18, 2022",,,,"Free to Play, Simulation, Strategy","English,French,Italian,German,Spanish - Latin America,Portuguese - Brazil,Japanese,Korean,Simplified Chinese","Card,Game,Free,to,Play,Strategy,Trading,Card,Game,PvP,Multiplayer,Card,Battler,Anime,Simulation,Turn-Based,Tactics,Tactical,eSports,Survival,Horror,Singleplayer,Fantasy,Dragons,PvE,3D,2D,Great,Soundtrack,+","Single-player,Online Pv,PCross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases 

Requires agreement to a 3rd-party EULA
Yu-Gi-Oh!  Master Duel EULA","Fantasy Violence,Partial Nudity,Mild Blood"
Stardew Valley,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?",ConcernedApe,ConcernedApe,"Feb 26, 2016",, 2 GB RAM, 500 MB available space,"Indie, RPG, Simulation","English,German,Spanish - Spain,Japanese,Portuguese - Brazil,Russian,Simplified Chinese,French,Italian,Hungarian,Korean,Turkish","Farming,Sim,Life,Sim,Pixel,Graphics,Multiplayer,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Singleplayer,Casual,Open,World,2D,Cute,Great,Soundtrack,Dating,Sim,Fishing,+","Single-player,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Fantasy Violence,Mild Blood,Mild Language,Use of Alcohol and Tobacco,Simulated Gambling"
Tiny Tina's Wonderlands,"Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry! Roll your own multiclass hero then shoot, loot, slash, and cast on a quest to stop the Dragon Lord.",Gearbox Software,2K,"Jun 23, 2022",,,,"Action, Adventure, RPG","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Portuguese - Brazil,Russian,Simplified Chinese,Thai,Traditional Chinese","Loot,Adventure,Shooter,Multiplayer,RPG,Looter,Shooter,FPS,Fantasy,Online,Co-Op,Action,Comedy,Narration,Stylized,Co-op,Singleplayer,Character,Customization,PvE,Class-Based,Local,Co-Op,3D,+","Single-player,Online Co-op,LAN Co-op,Steam Achievements,Full controller support 

Requires agreement to a 3rd-party EULA
Tiny Tina's Wonderlands EULA","Violence,Blood,Suggestive Themes,Partial Nudity,Language,Crude Humor"
Hunt: Showdown,"Hunt: Showdown is a high-stakes, tactical PvPvE first-person shooter. Hunt for bounties in the infested Bayou, kill nightmarish monsters and outwit competing hunters - alone or in a group - with your glory, gear, and gold on the line.",Crytek,Crytek,"Aug 27, 2019",,,,Action,"English,French,Italian,German,Spanish - Spain,Russian,Simplified Chinese,Polish,Turkish,Japanese,Portuguese - Brazil","Open,World,Tactical,Atmospheric,Multiplayer,Perma,Death,FPS,Shooter,PvP,Survival,Horror,Horror,Difficult,Online,Co-Op,Western,Co-op,Battle,Royale,Team-Based,Action,Gore,Zombies,First-Person,+","Online Pv,POnline Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Leaderboards,Remote Play on Tablet,Remote Play on TV 

Requires agreement to a 3rd-party EULA
Hunt: Showdown EULA","Blood and Gore,Violence"
Cities: Skylines,Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,Colossal Order Ltd.,Paradox Interactive,"Mar 10, 2015",,,,"Simulation, Strategy","English,French,German,Spanish - Spain,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Korean","City,Builder,Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Moddable,Economy,Resource,Management,Mod,Realistic,Replay,Value,Casual,Modern,Real-Time,with,Pause,Family,Friendly,Great,Soundtrack,Funny,Action,+","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play on Tablet 

Requires agreement to a 3rd-party EULA
Cities: Skylines EULA",
Stellaris,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.",Paradox Development Studio,Paradox Interactive,"May 9, 2016",,,,"Simulation, Strategy","English,French,German,Spanish - Spain,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Japanese,Korean","Space,Grand,Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time,with,Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay,Value,Atmospheric,Great,Soundtrack,Procedural,Generation,+","Single-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud 

Requires agreement to a 3rd-party EULA
Stellaris EULA",
Marvel’s Spider-Man Remastered,"In Marvel’s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel’s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.","Insomniac Games, Nixxes Software",PlayStation PC LLC,"Aug 12, 2022",,,,"Action, Adventure, Casual","English,French,Italian,German,Spanish - Spain,Arabic,Czech,Danish,Dutch,Finnish,Greek,Hungarian,Japanese,Korean,Norwegian,Polish,Portuguese - Portugal,Portuguese - Brazil,Russian,Spanish - Latin America,Swedish,Traditional Chinese","Superhero,Open,World,Action,Singleplayer,Story,Rich,Adventure,Combat,Action-Adventure,Third,Person,Parkour,Comic,Book,Exploration,Beautiful,Great,Soundtrack,Stealth,Funny,Atmospheric,Sci-fi,Multiplayer,Sexual,Content,+","Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV 

Requires agreement to a 3rd-party EULA
Marvel’s Spider-Man Remastered EULA","Violence, Blood, Mild Suggestive Themes, Language, Drug Reference"
World of Warships,"Immerse yourself in thrilling naval battles and assemble an armada of over 600 ships from the first half of the 20th century — from stealthy destroyers to gigantic battleships. Change the look of your ship, choose upgrades to suit your play style, and go into battle with other players!",Wargaming Group Limited,Wargaming Group Limited,"Nov 15, 2017",,,,"Action, Free to Play, Massively Multiplayer, Simulation","English,French,German,Czech,Japanese,Polish,Russian,Thai,Turkish,Spanish - Spain,Korean,Portuguese - Brazil,Traditional Chinese,Italian,Simplified Chinese,Ukrainian,Dutch,Spanish - Latin America","Naval,Combat,Free,to,Play,Naval,World,War,II,Massively,Multiplayer,Action,Multiplayer,Tactical,PvP,Historical,Military,Online,Co-Op,Team-Based,Realistic,Simulation,Shooter,PvE,Third-Person,Shooter,War,Co-op,+","MMOOnline Pv,POnline Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases,Steam Cloud 

Requires agreement to a 3rd-party EULA
World of Warships EULA","Violence,• Mostly realistic setting,• Photo-realistic depiction
,Violence Against Non-Humans,• Violence is often depicted from a distance,• Violence is rarely depicted close-up,• No blood and gore
,Language,• Minor profanities (e.g. ""damn""; ""hell"")"
